StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,Q3_4_TEXT,Q5,Q6,Q8,Q10,Q11,Q12,Q13,Q14,Q15,Q16_1,Q17
2023-04-19 12:10:58,2023-04-19 12:14:02,IP Address,4.59.201.147,100,183,True,2023-04-19 12:14:03,R_DMnGQ24f66vTxDj,,,,,33.7657,-84.2951,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Jeannette Rankin,I gave my best guess without looking it up,20,I gave my best guess without looking it up
2023-04-19 12:25:00,2023-04-19 12:26:36,IP Address,108.77.85.216,100,95,True,2023-04-19 12:26:36,R_2QG2UVzz7GVgtEc,,,,,35.9151,-79.0972,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Moderately Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Jeannette Rankin,I gave my best guess without looking it up,11,I gave my best guess without looking it up
2023-04-19 12:36:24,2023-04-19 12:37:51,IP Address,152.23.103.93,100,87,True,2023-04-19 12:37:52,R_2D5HvbRTpBgpTYF,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Barbara A. Mikulski,I gave my best guess without looking it up,35,I gave my best guess without looking it up
2023-04-19 12:49:09,2023-04-19 12:50:25,IP Address,152.23.62.155,100,76,True,2023-04-19 12:50:25,R_3MJQAXb07CGv9pQ,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Moderately Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Barbara A. Mikulski,I gave my best guess without looking it up,40,I gave my best guess without looking it up
2023-04-19 12:53:52,2023-04-19 12:54:59,IP Address,152.23.117.122,100,66,True,2023-04-19 12:54:59,R_3JE4otLrjmwpXFW,,,,,35.9151,-79.0972,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Moderately Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Dianne Feinstein,I gave my best guess without looking it up,29,I gave my best guess without looking it up
2023-04-19 14:17:17,2023-04-19 14:18:37,IP Address,152.23.229.43,100,80,True,2023-04-19 14:18:38,R_3pb96swWEnoAbHp,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Republican,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Unaware,I promise to try my best without looking up any answers.,Nancy Pelosi,New Jersey,Dianne Feinstein,I gave my best guess without looking it up,38,I gave my best guess without looking it up
2023-04-19 18:26:39,2023-04-19 18:28:01,IP Address,152.23.131.138,100,82,True,2023-04-19 18:28:02,R_8uK1DPGsSQRI5TH,,,,,35.9108,-79.0836,anonymous,EN,I consent to taking the survey,Male,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Jeannette Rankin,I gave my best guess without looking it up,18,I gave my best guess without looking it up
2023-04-24 10:20:39,2023-04-24 10:22:22,IP Address,152.23.79.150,100,103,True,2023-04-24 10:22:23,R_2trJU9Q7dGZu9sc,,,,,35.9151,-79.0972,anonymous,EN,I consent to taking the survey,Male,,Republican,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Barbara A. Mikulski,I gave my best guess without looking it up,35,I gave my best guess without looking it up
2023-04-24 10:20:48,2023-04-24 10:22:38,IP Address,152.23.57.118,100,109,True,2023-04-24 10:22:38,R_1Nqc2MufNCwWzT8,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Male,,Republican,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Moderately Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,New Jersey,Paula Hawkins,I gave my best guess without looking it up,30,I gave my best guess without looking it up
2023-04-24 10:20:50,2023-04-24 10:22:53,IP Address,45.37.107.247,100,122,True,2023-04-24 10:22:53,R_1mmXfosaWpO7dyk,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Male,,Republican,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,Illinois,Dianne Feinstein,I gave my best guess without looking it up,34,I gave my best guess without looking it up
2023-04-24 10:20:23,2023-04-24 10:22:58,IP Address,174.245.82.149,100,155,True,2023-04-24 10:22:59,R_31pmvAIHS2krLyn,,,,,35.2316,-80.8428,anonymous,EN,I consent to taking the survey,Male,,Republican,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Dianne Feinstein,I gave my best guess without looking it up,25,I gave my best guess without looking it up
2023-04-24 10:23:02,2023-04-24 10:23:17,IP Address,153.33.182.36,100,15,True,2023-04-24 10:23:19,R_2qyemK7c60XzmSD,,,,,35.9153,-79.0386,anonymous,EN,I do not consent to taking the survey,,,,,,,,,,,,,
2023-04-24 10:20:29,2023-04-24 10:23:23,IP Address,152.23.72.76,100,173,True,2023-04-24 10:23:24,R_2EoyAj0Znuw5rcE,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Male,,Republican,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Dianne Feinstein,I gave my best guess without looking it up,31,I gave my best guess without looking it up
2023-04-24 10:22:12,2023-04-24 10:23:52,IP Address,45.37.107.247,100,99,True,2023-04-24 10:23:52,R_2cBMaQZipfcvcuE,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Male,,Republican,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Dianne Feinstein,I gave my best guess without looking it up,31,I gave my best guess without looking it up
2023-04-24 10:22:54,2023-04-24 10:24:25,IP Address,104.28.77.5,100,91,True,2023-04-24 10:24:26,R_2SxJNmJI9tSUTbm,,,,,35.9935,-78.9032,anonymous,EN,I consent to taking the survey,Male,,Republican,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Dianne Feinstein,I gave my best guess without looking it up,30,I gave my best guess without looking it up
2023-04-24 10:25:17,2023-04-24 10:26:41,IP Address,45.37.107.247,100,83,True,2023-04-24 10:26:42,R_24AiKQJub5aw7Zp,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Male,,Republican,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Paula Hawkins,I gave my best guess without looking it up,38,I gave my best guess without looking it up
2023-04-24 10:28:39,2023-04-24 10:29:51,IP Address,45.37.107.247,100,71,True,2023-04-24 10:29:52,R_2Xbqvv4PjdTvMM1,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Male,,Republican,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Dianne Feinstein,I gave my best guess without looking it up,27,I gave my best guess without looking it up
2023-04-24 10:54:45,2023-04-24 10:56:15,IP Address,153.33.182.24,100,89,True,2023-04-24 10:56:16,R_3Kv90QIsStb3495,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Male,,Independent,Closer to the Republican Party,,Moderately Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,New York,Jeannette Rankin,I gave my best guess without looking it up,20,I gave my best guess without looking it up
2023-04-24 11:03:06,2023-04-24 11:05:06,IP Address,152.23.246.164,100,120,True,2023-04-24 11:05:08,R_3t6G54N9LrZVjyh,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Male,,Independent,I am not closer to either party,,Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Dianne Feinstein,I gave my best guess without looking it up,34,I gave my best guess without looking it up
2023-04-24 11:10:38,2023-04-24 11:11:17,IP Address,153.33.182.28,100,38,True,2023-04-24 11:11:18,R_2bPoOCv5DT3K1A0,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Non-binary / third gender,,Republican,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Not Aware at All,I do not want to make that promise.,,,,,,
2023-04-24 11:11:35,2023-04-24 11:12:28,IP Address,174.247.3.182,100,53,True,2023-04-24 11:12:28,R_3fq0JGwPBd8Ldf8,,,,,35.2316,-80.8428,anonymous,EN,I consent to taking the survey,Male,,Republican,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Moderately Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Dianne Feinstein,I gave my best guess without looking it up,30,I gave my best guess without looking it up
2023-04-24 12:07:55,2023-04-24 12:09:22,IP Address,152.23.119.25,100,86,True,2023-04-24 12:09:22,R_1gBy7LbGng9xXIp,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Male,,Republican,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Very Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Paula Hawkins,I gave my best guess without looking it up,40,I gave my best guess without looking it up
2023-04-24 12:08:35,2023-04-24 12:09:48,IP Address,107.77.233.23,100,72,True,2023-04-24 12:09:49,R_3G6Nnr63oofU5b3,,,,,33.7485,-84.3871,anonymous,EN,I consent to taking the survey,Male,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Moderately Aware,I promise to try my best without looking up any answers.,Hakeem Jeffries,New York,Barbara A. Mikulski,I gave my best guess without looking it up,33,I gave my best guess without looking it up
2023-04-24 12:47:36,2023-04-24 12:48:57,IP Address,174.235.228.160,100,81,True,2023-04-24 12:48:58,R_1dhOPDiqHuGffGQ,,,,,34.0021,-81.0423,anonymous,EN,I consent to taking the survey,Male,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Paula Hawkins,I gave my best guess without looking it up,22,I gave my best guess without looking it up
2023-04-24 12:56:18,2023-04-24 12:57:25,IP Address,166.198.157.65,100,67,True,2023-04-24 12:57:26,R_3jdpLH9zTYVLuJH,,,,,33.7474,-84.3747,anonymous,EN,I consent to taking the survey,Non-binary / third gender,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Very Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,New York,Dianne Feinstein,I gave my best guess without looking it up,79,I gave my best guess without looking it up
2023-04-24 12:58:11,2023-04-24 13:00:00,IP Address,45.37.107.247,100,109,True,2023-04-24 13:00:02,R_1Nug42pzv7tXF29,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Male,,Republican,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Unaware,I promise to try my best without looking up any answers.,Kevin McCarthy,New Jersey,Barbara A. Mikulski,I gave my best guess without looking it up,23,I gave my best guess without looking it up
2023-04-24 13:51:33,2023-04-24 13:53:28,IP Address,152.23.254.61,100,115,True,2023-04-24 13:53:29,R_2YQDYlLSsFnXYHa,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Male,,Republican,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Jeannette Rankin,I gave my best guess without looking it up,30,I gave my best guess without looking it up
2023-04-24 13:53:10,2023-04-24 13:54:22,IP Address,166.196.89.48,100,71,True,2023-04-24 13:54:23,R_33yum18t4Lr0dA4,,,,,35.21,-80.8512,anonymous,EN,I consent to taking the survey,Male,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Very Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Paula Hawkins,I gave my best guess without looking it up,27,I gave my best guess without looking it up
2023-04-24 13:54:52,2023-04-24 13:56:10,IP Address,153.33.182.30,100,77,True,2023-04-24 13:56:11,R_3EygMaQhPlgxnGw,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Male,,Republican,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,,New York,Barbara A. Mikulski,I gave my best guess without looking it up,10,I gave my best guess without looking it up
2023-04-24 14:28:51,2023-04-24 14:30:32,IP Address,98.26.105.177,100,101,True,2023-04-24 14:30:33,R_2tyWBv7XzvkNEVB,,,,,35.9151,-79.0972,anonymous,EN,I consent to taking the survey,Male,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Dianne Feinstein,I gave my best guess without looking it up,27,I gave my best guess without looking it up
2023-04-24 14:10:46,2023-04-24 14:38:46,IP Address,166.198.157.62,100,1679,True,2023-04-24 14:38:47,R_22EXqVK24T0GMYM,,,,,33.7474,-84.3747,anonymous,EN,I consent to taking the survey,Female,,Republican,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Unaware,I promise to try my best without looking up any answers.,Nancy Pelosi,New York,Paula Hawkins,I gave my best guess without looking it up,39,I gave my best guess without looking it up
2023-04-24 14:49:14,2023-04-24 14:50:35,IP Address,107.77.235.59,100,80,True,2023-04-24 14:50:35,R_vDqsdbKQGzZyCxb,,,,,36.1671,-86.7861,anonymous,EN,I consent to taking the survey,Male,,Independent,Closer to the Democratic Party,,Not Very Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,New York,Barbara A. Mikulski,I gave my best guess without looking it up,8,I gave my best guess without looking it up
2023-04-24 15:07:48,2023-04-24 15:09:20,IP Address,166.194.154.91,100,92,True,2023-04-24 15:09:21,R_2rI1kqUJmoiGyhJ,,,,,35.2296,-80.843,anonymous,EN,I consent to taking the survey,Male,,Republican,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Paula Hawkins,I gave my best guess without looking it up,33,I gave my best guess without looking it up
2023-04-24 15:26:11,2023-04-24 15:27:45,IP Address,75.58.63.203,100,93,True,2023-04-24 15:27:45,R_qL7bp4aJ1Sclh0B,,,,,35.9151,-79.0972,anonymous,EN,I consent to taking the survey,Male,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Not Very Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Paula Hawkins,I gave my best guess without looking it up,30,I gave my best guess without looking it up
2023-04-25 07:03:10,2023-04-25 07:04:28,IP Address,99.29.114.177,100,77,True,2023-04-25 07:04:28,R_1F9Q5Fus8ndeTBv,,,,,35.961,-78.9291,anonymous,EN,I consent to taking the survey,Male,,Republican,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Moderately Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,New Jersey,Paula Hawkins,I gave my best guess without looking it up,20,I gave my best guess without looking it up
2023-04-25 11:35:06,2023-04-25 11:35:39,IP Address,152.23.114.171,100,32,True,2023-04-25 11:35:39,R_OPVOBvSs63gC4XT,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Male,,Republican,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Moderately Aware,I do not want to make that promise.,,,,,,
2023-04-25 13:37:37,2023-04-25 13:39:14,IP Address,152.23.89.186,100,97,True,2023-04-25 13:39:15,R_1ffp6y62UAsAAUF,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Hakeem Jeffries,Illinois,Jeannette Rankin,I gave my best guess without looking it up,21,I gave my best guess without looking it up
2023-04-25 13:38:25,2023-04-25 13:39:32,IP Address,152.23.211.38,100,66,True,2023-04-25 13:39:32,R_1dcdQsGAYYQnTtQ,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Male,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Dianne Feinstein,I gave my best guess without looking it up,30,I gave my best guess without looking it up
2023-04-25 13:38:42,2023-04-25 13:39:45,IP Address,152.23.249.202,100,62,True,2023-04-25 13:39:46,R_3rVqRG0sxYgZaoS,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Male,,Independent,Closer to the Democratic Party,,Aware,I promise to try my best without looking up any answers.,Hakeem Jeffries,California,Paula Hawkins,I gave my best guess without looking it up,30,I gave my best guess without looking it up
2023-04-25 13:39:19,2023-04-25 13:40:41,IP Address,152.23.240.176,100,81,True,2023-04-25 13:40:41,R_2wv17MX3fXttUsq,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Paula Hawkins,I gave my best guess without looking it up,16,I gave my best guess without looking it up
2023-04-25 13:39:34,2023-04-25 13:40:45,IP Address,152.23.101.158,100,70,True,2023-04-25 13:40:46,R_2E4Wz4PBHq41ZIW,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Male,,Independent,Closer to the Democratic Party,,Somewhat Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Paula Hawkins,I gave my best guess without looking it up,19,I gave my best guess without looking it up
2023-04-25 13:41:36,2023-04-25 13:43:18,IP Address,152.23.136.71,100,102,True,2023-04-25 13:43:19,R_332uQMiYb0xEt9m,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Moderately Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,New York,Dianne Feinstein,I gave my best guess without looking it up,12,I gave my best guess without looking it up
2023-04-25 13:41:24,2023-04-25 13:43:22,IP Address,152.23.54.2,100,118,True,2023-04-25 13:43:23,R_1FSFbUjxB0TjUJz,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Male,,Independent,Closer to the Democratic Party,,Aware,I promise to try my best without looking up any answers.,Hakeem Jeffries,California,Barbara A. Mikulski,I gave my best guess without looking it up,25,I gave my best guess without looking it up
2023-04-25 13:42:14,2023-04-25 13:43:41,IP Address,152.23.103.87,100,86,True,2023-04-25 13:43:41,R_1F4zShbyzOJ5RW6,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Male,,Independent,Closer to the Democratic Party,,Moderately Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Barbara A. Mikulski,I gave my best guess without looking it up,30,I gave my best guess without looking it up
2023-04-25 13:43:00,2023-04-25 13:44:26,IP Address,152.23.45.106,100,85,True,2023-04-25 13:44:27,R_28HvybeP85AuJnJ,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Male,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Very Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Paula Hawkins,I gave my best guess without looking it up,25,I gave my best guess without looking it up
2023-04-25 13:43:02,2023-04-25 13:45:13,IP Address,152.23.60.199,100,131,True,2023-04-25 13:45:14,R_2ZOGjgblScAfqyy,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Dianne Feinstein,I gave my best guess without looking it up,28,I gave my best guess without looking it up
2023-04-25 13:44:28,2023-04-25 13:45:40,IP Address,152.23.97.125,100,71,True,2023-04-25 13:45:40,R_1iedI0AapWo0K0V,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Moderately Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Dianne Feinstein,I gave my best guess without looking it up,31,I gave my best guess without looking it up
2023-04-25 13:45:24,2023-04-25 13:46:29,IP Address,152.23.88.166,100,65,True,2023-04-25 13:46:30,R_2YRNglzMfa5AtVI,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Very Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Barbara A. Mikulski,I gave my best guess without looking it up,30,I gave my best guess without looking it up
